,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,Area Population-binned
0,0.7385716552660135,5,7,4,0.33159535197713336,1059033.5578701235,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101",Low
1,0.7358157471775917,6,6,3,0.5770241737406817,1505890.91484695,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958",Medium
2,0.5690443108106589,5,8,5,0.5297539535484983,1058987.9878760849,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489",Medium
3,0.5881542407660625,7,5,3,0.49281107711753636,1260616.8066294468,"USS Barnett
FPO AP 44820",Medium
4,0.5569287233424459,5,7,4,0.3785352120768159,630943.4893385402,"USNS Raymond
FPO AE 09386",Medium
5,0.7444238869582835,4,6,4,0.3841944240961779,1068138.0743935304,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077",Medium
6,0.6007187850008959,6,8,3,0.873701900288706,1502055.8173744078,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247",High
7,0.7278836273172962,6,6,2,0.5244969190330504,1573936.5644777215,"972 Joyce Viaduct
Lake William, TN 17778-6483",Medium
8,0.5564223581888629,5,6,2,0.42209965384007697,798869.5328331633,"USS Gilbert
FPO AA 20957",Medium
9,0.7603026730538808,4,8,6,0.5766794501658982,1545154.8126419624,"Unit 9446 Box 0958
DPO AE 97025",Medium
10,0.7476895528247682,8,5,4,0.6783010873156088,1707045.722158058,"6368 John Motorway Suite 700
Janetbury, NM 26854",High
11,0.469757420461216,4,7,4,0.49328507203286365,663732.3968963273,"911 Castillo Park Apt. 717
Davisborough, PW 78603",Medium
12,0.3624250286087875,7,7,3,0.5633357751253214,1042814.0978200928,"209 Natasha Stream Suite 961
Huffmanland, NE 52457",Medium
13,0.679317323471015,6,5,2,0.4643139282687695,1291331.5184858206,"829 Welch Track Apt. 992
North John, AR 26532-5136",Medium
14,0.6442920493830013,5,8,4,0.5102052541618189,1402818.2101658515,"PSC 5330, Box 4420
APO AP 08302",Medium
15,0.6786506983112103,5,8,4,0.34370376754140275,1306674.6599511993,"2278 Shannon View
North Carriemouth, NM 84617",Medium
16,0.7400712082980995,5,8,3,0.5704744258197958,1556786.6001947748,"064 Hayley Unions
Nicholsborough, HI 44161-1887",Medium
17,0.5750053081863131,4,5,4,0.353269846741644,528485.2467305964,"5498 Rachel Locks
New Gregoryshire, PW 54755",Medium
18,0.5896672547668252,5,7,5,0.5130492236537826,1019425.9367578316,"Unit 7424 Box 2786
DPO AE 71255",Medium
19,0.576455603911949,5,7,5,0.6452363511009609,1030591.4292116085,"19696 Benjamin Cape
Stephentown, ME 36952-4733",Medium
20,0.8012404662747967,6,8,4,0.6831272173625774,2146925.339888662,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197",High
21,0.5648477475550837,5,6,2,0.6546013415492452,929247.5995364,"USNS Brown
FPO AP 85833",Medium
22,0.59878926051069,4,5,4,0.5796814179629709,718887.2315009277,"95198 Ortiz Key
Port Sara, TN 24541-2855",Medium
23,0.5635688598723815,6,7,6,0.4041883914336192,743999.8191601974,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804",Medium
24,0.5547621685534222,5,7,4,0.3994340787980638,895737.1333835076,"24282 Paul Valley
West Perry, MI 03169-5806",Medium
25,0.5290023365175497,8,7,4,0.5845075480099395,1453974.5059508719,"61938 Brady Falls
Lewisfort, DE 61227",Medium
26,0.7629739285913637,4,6,2,0.5580643771275908,1125692.507295288,"3599 Ramirez Springs
Jacksonhaven, AZ 72798",Medium
27,0.6000541490889397,5,6,4,0.3990749917409977,975429.4927929222,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814",Medium
28,0.8402747291903442,6,4,3,0.4879274931414372,1240763.765571478,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365",Medium
29,0.5508154973649151,6,8,4,0.5389178552448256,1577017.7600015546,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832",Medium
30,0.7224722273007169,5,6,3,0.484824980968386,1246830.1884286287,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224",Medium
31,0.6374326345212794,6,6,4,0.5652748452334784,1170720.893654292,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110",Medium
32,0.5110534639636979,7,8,5,0.4326568133178208,1071279.210244544,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041",Medium
33,0.46627570322179607,6,7,6,0.2414501371712558,534305.1323349292,"039 Jordan Pike
Emilyville, ID 27442",Low
34,0.5191124855198843,5,9,6,0.3210956464285201,936368.9634048606,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766",Low
35,0.6905441307078737,5,6,2,0.5658493845247842,1199193.8313295112,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811",Medium
36,0.7304236540507277,5,7,4,0.39696355984544895,1233220.009477811,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585",Medium
37,0.7307171544417533,5,6,3,0.3280044814064722,1081150.1254838074,"7585 Lynn Loop
East Judy, WV 73336",Low
38,0.4932899070740129,5,5,2,0.47323365076629176,524712.7660674525,"Unit 1388 Box 9350
DPO AP 70848",Medium
39,0.16523994696114208,4,6,2,0.6774105514140848,302355.83597895555,"9932 Eric Circles
Lake Martha, WY 34611-6127",High
40,0.543787359496385,6,5,2,0.570302064032404,1026817.399788458,"7896 Walker Spring
Loriport, MH 72956",Medium
41,0.7013608938374786,7,7,6,0.4708062222605248,1762214.6795818857,"549 Darren Plaza
Lake Kevin, UT 27155",Medium
42,0.4284707885570804,6,7,4,0.3901265422789101,882057.1705928424,"90634 Michelle Valleys
North Victoria, WV 99370",Medium
43,0.6538563908979991,6,7,4,0.620258255411442,1744932.210990927,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802",Medium
44,0.5813686552197801,5,7,6,0.3862053116157481,1153871.4695016337,"43087 Jerome Field
West Deborah, SD 49213",Medium
45,0.6164697656814729,7,7,3,0.5708191493945792,1499988.8795226102,"71956 Jenkins Fall
Brooketown, PW 67485-0764",Medium
46,0.686589142589358,4,7,6,0.5064707487683314,1109588.380162506,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027",Medium
47,0.6420020728446728,7,5,3,0.2733370678387268,980177.3051371257,"Unit 8108 Box 5159
DPO AP 04678",Low
48,0.7175250002183892,6,6,2,0.31204665259045405,1323952.027425176,"08639 Garcia Port
Anthonybury, CT 17971",Low
49,0.8055040696686007,6,6,4,0.617873917352523,1662494.7355443896,"91863 Curtis Point
New Richard, AK 99996-7554",Medium
50,0.6907951087390226,6,7,6,0.5901093061001709,1417819.740218086,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656",Medium
51,0.4587501975074925,5,5,3,0.3861047672397696,549976.1455595789,"7796 Joseph Burg
Danielsside, RI 70370",Medium
52,0.5782616437497334,6,6,4,0.5064994757328967,1054770.980647526,"173 Mendoza Land
West John, NJ 57690",Medium
53,0.6785238418728451,5,6,3,0.7887706295514284,1415647.553437237,"3288 Lee Pass
South Julieton, PW 02759-4964",High
54,0.677265746915935,4,7,6,0.35013860760402754,948788.2757094484,"86908 Marshall Port Suite 252
Scotttown, NM 69143",Medium
55,0.5925588378321199,5,8,4,0.3996638945145861,1159596.518619623,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266",Medium
56,0.6802624004859469,8,7,3,0.302064032404016,1547133.3964004475,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754",Low
57,0.6359054723315811,6,7,5,0.262377730857069,1186688.505938349,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955",Low
58,0.5124694657659727,7,5,4,0.46734462303040747,772111.9721021006,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699",Medium
59,0.7189733723628366,6,5,3,0.5207049597104322,1172730.1557693179,"4872 Delgado Ramp
North James, IA 36544",Medium
60,0.6142786220427671,4,6,2,0.5328564657215495,1111085.0168910609,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536",Medium
61,0.5617634833716951,7,5,4,0.4823113715689232,1022781.1707429123,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884",Medium
